Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"EX_RD","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.24,R151.2,U20.1,U8.3","1260","1160","2A","[2,3]"
"EX_RD","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.24,R151.2,U20.1,U8.3","1760","620","1C","[2,3]"
"EX_RD","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.24,R151.2,U20.1,U8.3","1360","640","2C","[2,3]"
"EX_RD","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.24,R151.2,U20.1,U8.3","1330","260","2D","[2,3]"
"EX_RD","OffPage","P02_FPGA","2","SCHEMATIC1","R18.2","2060","650","1C","[3]"
"EX_WR","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.25,R152.2,U19.3,U8.5","1760","630","1C","[2,3]"
"EX_WR","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.25,R152.2,U19.3,U8.5","990","1180","3A","[2,3]"
"EX_WR","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.25,R152.2,U19.3,U8.5","1360","650","2C","[2,3]"
"EX_WR","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.25,R152.2,U19.3,U8.5","1060","270","3D","[2,3]"
"EX_WR","OffPage","P02_FPGA","2","SCHEMATIC1","R19.2","2060","660","1C","[3]"
"EX_ADD0","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.26,R153.2,U20.3,U8.6","1360","660","2C","[2,3]"
"EX_ADD0","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.26,R153.2,U20.3,U8.6","1260","1180","2A","[2,3]"
"EX_ADD0","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.26,R153.2,U20.3,U8.6","1760","640","1C","[2,3]"
"EX_ADD0","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.26,R153.2,U20.3,U8.6","1330","270","2D","[2,3]"
"EX_ADD0","OffPage","P02_FPGA","2","SCHEMATIC1","R20.2","2060","670","1C","[3]"
"EX_ADD1","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.27,R154.2,U19.4,U8.8","990","1200","3A","[2,3]"
"EX_ADD1","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.27,R154.2,U19.4,U8.8","1060","280","3D","[2,3]"
"EX_ADD1","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.27,R154.2,U19.4,U8.8","1360","670","2C","[2,3]"
"EX_ADD1","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.27,R154.2,U19.4,U8.8","1760","650","1C","[2,3]"
"EX_ADD1","OffPage","P02_FPGA","2","SCHEMATIC1","R22.2","2060","680","1C","[3]"
"EX_ADD2","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.28,R155.2,U20.4,U8.9","1330","280","2D","[2,3]"
"EX_ADD2","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.28,R155.2,U20.4,U8.9","1260","1200","2A","[2,3]"
"EX_ADD2","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.28,R155.2,U20.4,U8.9","1360","680","2C","[2,3]"
"EX_ADD2","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.28,R155.2,U20.4,U8.9","1760","660","1C","[2,3]"
"EX_ADD2","OffPage","P02_FPGA","2","SCHEMATIC1","R24.2","2060","690","1C","[3]"
"EX_ADD3","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.29,R156.2,U19.5,U8.11","1360","690","2C","[2,3]"
"EX_ADD3","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.29,R156.2,U19.5,U8.11","990","1220","3A","[2,3]"
"EX_ADD3","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.29,R156.2,U19.5,U8.11","1760","670","1C","[2,3]"
"EX_ADD3","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.29,R156.2,U19.5,U8.11","1060","290","3D","[2,3]"
"EX_ADD3","OffPage","P02_FPGA","2","SCHEMATIC1","R26.2","2060","700","1C","[3]"
"EX_ADD4","OffPage","P03_EXT_CON","3","SCHEMATIC1","J4.30,R157.2,U20.5,U8.12","1260","1220","2A","[2,3]"
